repo,clones,unique_cloners,views,unique_viewers,clones_per_cloner,visibility,created,last_push,disk_kb,stars,forks,language,topics,licence,homepage,description
carolina-barbecue,132,71,4,3,1.86,public,2026-09-16,2026-09-16,124453,0,0,Python,6,NONE,https://nanobotco.github.io/carolina-barbecue/,"A directory of barbecue in North and South Carolina: styles, sauces, dishes, pit practice, places, people, events and words — one JSON record each, every field sourced, every page saying what its neighbours are to it."
buffalo-wings,50,35,0,0,1.43,public,2026-09-16,2026-09-18,56102,0,0,Python,0,NONE,,"Wing Country — a directory of the chicken wing in the United States: 13 regional styles, 22 sauce labels read off the panel, places, people, words, and every field saying where it came from."
nanobotco.github.io,82,34,2,1,2.41,public,2026-07-25,2026-09-18,901,0,0,HTML,3,NONE,,NaN — คุณแนน. Personal portal. It gets done today.
Lanna,250,32,3,3,7.81,public,2026-07-11,2026-09-18,1513426,0,0,-,4,NONE,,The crawler — harvests Lanna manuscript archives into a structured catalog
mot-dang,54,28,9,4,1.93,public,2026-07-27,2026-09-16,1031993,0,0,Python,4,NONE,,"มดแดง Mot Dang — Chiang Mai · Chiang Rai city directory, the 1997 way. รู้ทุกซอย เหมือนมดแดง"
NaNoBotCo,47,27,0,0,1.74,public,2026-07-28,2026-09-18,7,0,0,-,1,NONE,,Profile README and project directory
basque-tables,32,20,0,0,1.6,public,2026-09-16,2026-09-18,57678,0,0,Python,0,NONE,https://nanobotco.github.io/basque-tables/,"A sourced directory of Basque dining rooms in California, Nevada and Idaho — seating, prices, published days and the Picon Punch, every field naming where it came from."
defiant-site,20,17,0,0,1.18,public,2026-07-23,2026-09-16,19693,0,0,Python,4,NONE,,"defiant.to — US expat services & medical tourism concierge, Chiang Mai. American healthcare is bullshit; this is the exit map."
pink-box,24,15,0,0,1.6,public,2026-09-16,2026-09-18,31004,0,0,Python,0,NONE,,"Pink Box — a directory of the American mom-and-pop donut shop: cake or raised, egg rolls in the case, and who's been up since two"
pinot-noir,28,15,0,0,1.87,public,2026-09-16,2026-09-16,42374,0,0,Python,0,NONE,,"A directory of pinot noir: the vine, the ground, the cellars, the words — and a deep dive on Santa Maria tri-tip. One JSON record per node, with per-field provenance."
dead-mans-switch,20,15,0,0,1.33,public,2026-07-22,2026-09-16,14,0,0,Python,4,NONE,,"Local, offline check-in switch — fires a payload once if you ever stop checking in"
care-abroad,16,13,0,0,1.23,public,2026-09-16,2026-09-16,28851,0,0,Python,6,NONE,https://nanobotco.github.io/care-abroad/,"A directory of treatment across borders: countries, city clusters, procedures, hospitals, published prices with their dates, the law where the law is the reason, and the risks. One JSON record per node, every field carrying its provenance."
traffic-eye,18,12,2,1,1.5,public,2026-07-30,2026-09-16,22,0,0,JavaScript,0,NONE,,"Who is asking for your pages — people, AI crawlers, search engines, scrapers — across all your sites, in one place"
amulet-atlas,16,9,0,0,1.78,public,2026-09-16,2026-09-18,20425,0,0,Python,0,NONE,,"Amulets, charms and talismans worldwide — one JSON record per node, every field carrying where it came from. Equal Earth maps, a deep timeline, the signs drawn."
jovilabe,11,8,0,0,1.38,public,2026-07-28,2026-09-16,343,0,0,HTML,3,NONE,,A modeled antique geared instrument for Jupiter's four Galilean moons
manuscript-wiki,8,7,0,0,1.14,public,2026-07-22,2026-09-16,35696,0,0,Python,5,NONE,,"Read-only wiki over the Lanna manuscript catalog — facets, OCR, image store"
moat-game,7,7,0,0,1.0,public,2026-07-22,2026-08-03,485,0,0,Python,4,NONE,,A text game about an amulet smuggler crossing Chiang Mai checkpoints in 2076
